UBIGEO,NOMBRE,DEPARTAMENTO,DISTRITO
170102,PUENTE INAMBARI,MADRE DE DIOS,INAMBARI
080408,PUTUCUSI,CUSCO,YANATILE
080408,QUESQUENTO,CUSCO,YANATILE
210307,ITUATA,PUNO,ITUATA
200406,P.S HUALCAS,PIURA,SALITRAL
150116,POLICLINICO MULTISALUD,LIMA,LINCE
080408,TUPAC AMARU QUELLOUNO,CUSCO,YANATILE
211105,CENTRO DE SALUD MENTAL COMUNITARIO SAN MIGUEL ARCANGEL,PUNO,SAN MIGUEL
080101,TESLA LIFE,CUSCO,CUSCO
200204,PUESTO DE SALUD SALVIA,PIURA,LAGUNAS
200209,PUESTO DE SALUD AMBASAL,PIURA,SICCHEZ
210807,CAYARANI,PUNO,ORURILLO
210807,JANCHALLANI,PUNO,ORURILLO
110505,SANTA CRUZ,ICA,PARACAS
230302,PUESTO DE SALUD CAMBAYA,TACNA,ILABAYA
211204,CAPILLA PAMPA,PUNO,PATAMBUCO
170103,SABALUYOC,MADRE DE DIOS,LAS PIEDRAS
030402,CHACAPUENTE,APURIMAC,CAPAYA
200304,P.S. LOMA GRANDE,PIURA,HUARMACA
081103,PAROBAMBA,CUSCO,CHALLABAMBA
200101,PREVENIR CENTRO MEDICO Y ODONTOLOGICO S.R.L.,PIURA,PIURA
080101,PRANA,CUSCO,CUSCO
050202,PUESTO DE SALUD CHACOLLA,AYACUCHO,CHUSCHI
050201,PUESTO DE SALUD INCARACCAY,AYACUCHO,CANGALLO
150116,SAKURA  DENTAL,LIMA,LINCE
170101,LA JOYA,MADRE DE DIOS,TAMBOPATA
150110,EL GALENO,LIMA,COMAS
080104,ASOCIACION CERVICUSCO,CUSCO,SAN JERONIMO
080105,CEPRECE CUSCO,CUSCO,SAN SEBASTIAN
150140,POSTA SEMAN FAP,LIMA,SANTIAGO DE SURCO
080101,ANALISIS FAMILAB,CUSCO,CUSCO
190113,POSTA MEDICA PNP CERRO DE PASCO,PASCO,YANACANCHA
110501,POSTA MEDICA POLICIAL PISCO,ICA,PISCO
140101,CLUSAT,LAMBAYEQUE,CHICLAYO
060701,AUQUE ALTO,CAJAMARCA,BAMBAMARCA
120113,CHUAMBA,JUNIN,CULLHUAS
010609,MASHUYACU,AMAZONAS,OMIA
150131,CONSULTORIO EL GOLF,LIMA,SAN ISIDRO
160502,PUESTO DE SALUD I-1 SAN ANTONIO DE FORTALEZA,LORETO,ALTO TAPICHE
050201,CANGALLO,AYACUCHO,CANGALLO
120107,MARCIA,JUNIN,CHILCA
250101,POLICLINICO POLICIAL PUCALLPA,UCAYALI,CALLERIA
070106,ASOCIACION EMMANUEL - CASA DE REPOSO EMMANUEL,CALLAO,VENTANILLA
101104,RAHUA-HUANCACHACA,HUANUCO,APARICIO POMARES
150143,CONSULTORIO ODONTOLÓGICO OLIDENT,LIMA,VILLA MARIA DEL TRIUNFO
060614,LIBERTAD LA PALMA,CAJAMARCA,SOCOTA
020601,"POLICLINICO ""LA CASA DE LA SALUD""",ANCASH,CARHUAZ
150117,SERVICIOS MEDICO DE LA MUJER Y EL NIÑO,LIMA,LOS OLIVOS
220901,CONSULTORIO ODONTOLÓGICO DENTAL CARE E.I.R.L,SAN MARTIN,TARAPOTO
021012,PUESTO DE SALUD YUNGUILLA,ANCASH,RAHUAPAMPA
120133,HUAYLLASPANCA,JUNIN,SAPALLANGA
250306,PUESTO DE SALUD LOS OLIVOS,UCAYALI,HUIPOCA
120706,YAROCA,JUNIN,PALCA
120706,HUARIPAMPA,JUNIN,PALCA
200101,GRUPO OPTICO MEGA LENS,PIURA,PIURA
190113,ANASQUIZQUE,PASCO,YANACANCHA
190113,TINGO PALCA,PASCO,YANACANCHA
160401,PUERTO ALEGRIA DE RAMON CASTILLA,LORETO,RAMON CASTILLA
